lon,lat,described,cryptic,lndescribed,lncryptic
111.5,35.5,7,1,1.945910149,0
103.5,34.5,3,1,1.098612289,0
107.5,34.5,9,1,2.197224577,0
108.5,34.5,7,1,1.945910149,0
111.5,34.5,1,1,0,0
102.5,33.5,4,1,1.386294361,0
107.5,33.5,14,1,2.63905733,0
108.5,33.5,10,1,2.302585093,0
105.5,32.5,12,2,2.48490665,0.693147181
106.5,32.5,19,1,2.944438979,0
103.5,31.5,24,1,3.17805383,0
104.5,31.5,12,1,2.48490665,0
106.5,31.5,2,1,0.693147181,0
109.5,31.5,17,1,2.833213344,0
110.5,31.5,15,1,2.708050201,0
95.5,30.5,6,1,1.791759469,0
102.5,30.5,22,1,3.091042453,0
106.5,30.5,6,1,1.791759469,0
108.5,30.5,24,3,3.17805383,1.098612289
109.5,30.5,28,2,3.33220451,0.693147181
110.5,30.5,16,1,2.772588722,0
111.5,30.5,13,2,2.564949357,0.693147181
118.5,30.5,29,1,3.36729583,0
119.5,30.5,35,1,3.555348061,0
95.5,29.5,37,2,3.610917913,0.693147181
96.5,29.5,10,1,2.302585093,0
98.5,29.5,4,1,1.386294361,0
101.5,29.5,10,1,2.302585093,0
102.5,29.5,34,2,3.526360525,0.693147181
103.5,29.5,41,4,3.713572067,1.386294361
106.5,29.5,16,2,2.772588722,0.693147181
107.5,29.5,16,2,2.772588722,0.693147181
108.5,29.5,13,1,2.564949357,0
109.5,29.5,27,1,3.295836866,0
110.5,29.5,34,2,3.526360525,0.693147181
116.5,29.5,17,1,2.833213344,0
117.5,29.5,13,1,2.564949357,0
121.5,29.5,28,2,3.33220451,0.693147181
97.5,28.5,8,1,2.079441542,0
99.5,28.5,8,1,2.079441542,0
102.5,28.5,27,1,3.295836866,0
103.5,28.5,19,1,2.944438979,0
104.5,28.5,19,3,2.944438979,1.098612289
105.5,28.5,21,3,3.044522438,1.098612289
106.5,28.5,16,2,2.772588722,0.693147181
107.5,28.5,24,5,3.17805383,1.609437912
108.5,28.5,23,2,3.135494216,0.693147181
110.5,28.5,32,4,3.465735903,1.386294361
111.5,28.5,8,2,2.079441542,0.693147181
114.5,28.5,30,1,3.401197382,0
117.5,28.5,32,1,3.465735903,0
118.5,28.5,28,2,3.33220451,0.693147181
119.5,28.5,30,1,3.401197382,0
120.5,28.5,24,1,3.17805383,0
121.5,28.5,15,1,2.708050201,0
99.5,27.5,11,1,2.397895273,0
100.5,27.5,13,1,2.564949357,0
102.5,27.5,27,1,3.295836866,0
103.5,27.5,9,4,2.197224577,1.386294361
104.5,27.5,18,3,2.890371758,1.098612289
105.5,27.5,23,2,3.135494216,0.693147181
106.5,27.5,16,1,2.772588722,0
107.5,27.5,19,1,2.944438979,0
108.5,27.5,35,4,3.555348061,1.386294361
111.5,27.5,6,1,1.791759469,0
114.5,27.5,16,1,2.772588722,0
117.5,27.5,37,1,3.610917913,0
118.5,27.5,15,1,2.708050201,0
119.5,27.5,37,1,3.610917913,0
101.5,26.5,12,1,2.48490665,0
102.5,26.5,15,2,2.708050201,0.693147181
103.5,26.5,3,1,1.098612289,0
104.5,26.5,26,2,3.258096538,0.693147181
107.5,26.5,16,2,2.772588722,0.693147181
108.5,26.5,40,3,3.688879454,1.098612289
110.5,26.5,22,2,3.091042453,0.693147181
114.5,26.5,36,2,3.583518938,0.693147181
116.5,26.5,18,1,2.890371758,0
117.5,26.5,14,2,2.63905733,0.693147181
118.5,26.5,12,1,2.48490665,0
119.5,26.5,19,1,2.944438979,0
98.5,25.5,27,4,3.295836866,1.386294361
99.5,25.5,15,1,2.708050201,0
100.5,25.5,14,2,2.63905733,0.693147181
101.5,25.5,17,2,2.833213344,0.693147181
102.5,25.5,17,3,2.833213344,1.098612289
103.5,25.5,9,2,2.197224577,0.693147181
104.5,25.5,11,1,2.397895273,0
105.5,25.5,13,1,2.564949357,0
106.5,25.5,14,1,2.63905733,0
107.5,25.5,28,3,3.33220451,1.098612289
108.5,25.5,28,2,3.33220451,0.693147181
109.5,25.5,22,4,3.091042453,1.386294361
110.5,25.5,52,8,3.951243719,2.079441542
111.5,25.5,31,2,3.433987204,0.693147181
112.5,25.5,15,1,2.708050201,0
113.5,25.5,11,2,2.397895273,0.693147181
114.5,25.5,14,1,2.63905733,0
115.5,25.5,11,1,2.397895273,0
116.5,25.5,10,1,2.302585093,0
118.5,25.5,32,2,3.465735903,0.693147181
119.5,25.5,14,1,2.63905733,0
98.5,24.5,29,6,3.36729583,1.791759469
99.5,24.5,29,5,3.36729583,1.609437912
100.5,24.5,35,4,3.555348061,1.386294361
101.5,24.5,23,2,3.135494216,0.693147181
102.5,24.5,15,1,2.708050201,0
103.5,24.5,9,2,2.197224577,0.693147181
104.5,24.5,18,4,2.890371758,1.386294361
106.5,24.5,22,2,3.091042453,0.693147181
108.5,24.5,4,1,1.386294361,0
110.5,24.5,53,4,3.970291914,1.386294361
111.5,24.5,23,4,3.135494216,1.386294361
112.5,24.5,40,1,3.688879454,0
113.5,24.5,36,5,3.583518938,1.609437912
114.5,24.5,26,1,3.258096538,0
116.5,24.5,7,2,1.945910149,0.693147181
121.5,24.5,26,1,3.258096538,0
99.5,23.5,32,7,3.465735903,1.945910149
100.5,23.5,5,1,1.609437912,0
101.5,23.5,9,2,2.197224577,0.693147181
102.5,23.5,22,3,3.091042453,1.098612289
103.5,23.5,16,2,2.772588722,0.693147181
104.5,23.5,33,10,3.496507561,2.302585093
106.5,23.5,19,1,2.944438979,0
107.5,23.5,1,1,0,0
108.5,23.5,19,1,2.944438979,0
110.5,23.5,22,2,3.091042453,0.693147181
111.5,23.5,16,1,2.772588722,0
113.5,23.5,29,3,3.36729583,1.098612289
114.5,23.5,30,1,3.401197382,0
115.5,23.5,18,1,2.890371758,0
116.5,23.5,1,2,0,0.693147181
120.5,23.5,25,1,3.218875825,0
121.5,23.5,19,2,2.944438979,0.693147181
99.5,22.5,30,1,3.401197382,0
100.5,22.5,52,6,3.951243719,1.791759469
101.5,22.5,34,1,3.526360525,0
107.5,22.5,24,2,3.17805383,0.693147181
108.5,22.5,18,2,2.890371758,0.693147181
109.5,22.5,9,1,2.197224577,0
110.5,22.5,22,1,3.091042453,0
111.5,22.5,21,3,3.044522438,1.098612289
112.5,22.5,13,1,2.564949357,0
113.5,22.5,17,1,2.833213344,0
114.5,22.5,27,1,3.295836866,0
120.5,22.5,23,2,3.135494216,0.693147181
101.5,21.5,36,2,3.583518938,0.693147181
110.5,20.5,18,1,2.890371758,0
109.5,19.5,41,1,3.713572067,0
110.5,19.5,17,1,2.833213344,0
109.5,18.5,40,3,3.688879454,1.098612289
